name,address,email,phone,url
Agenția de Dezvoltare Regională Centru,"or. Ialoveni, str. Alexandru cel Bun, 33",sergiu.golovco@adrcentru.md,268 27235   078883935,-
ADR Nord,"mun. Bălţi, piața Vasile Alecsandri 8",denis.gudumac@adrnord.md,023129682,-
Departamentul Poliției de Frontieră al MAI,"mun.Chișinău, str.Petricani 19",achizitii@border.gov.md,0-22-259-627     0-22-259-679,-
I.M.S.P. INSTITUTUL MAMEI ŞI COPILULUI,"Republica Moldova, CHIŞINĂU BOTANICA, mun. Chişinău, str. Burebista 93",centrulmamei@gmail.com,022-55-96-46,-
Compania Națională de Asigurări în Medicină,"mun. Chişinău, str. Vlaicu Pârcălab 46",stefan.cimbir@cnam.gov.md,0 22 780 235,-
Agentia Medicamentului şi Dispozitivelor Medicale,"Korolenko 2/1, Chisinau",office@amed.md,022 884346,-
Ministerul Economiei,"Republica Moldova, mun. Chişinău, str. Marii Adunări Naţionale piaţa 1",mineconcom@mec.gov.md,250690 250696,-
Casa Naţională de Asigurări Sociale,"mun. Chișinău, str.Gh. Tudor 3",achizitiicnas@cnas.gov.md,022-257-681,-
Ministerul Afacerilor Interne,"mun. Chișinău, bd. Ștefan cel Mare, 75",dapd@mai.gov.md,022-255610,-
IMSP Spitalul Clinic Republican,"MD 2025 mun.Chişinău, str.Testemiţanu 29; www.scr.md",achizitii.publice@scr.md,0 22 40 36 97,-
Agenția de Dezvoltare Regională Sud,"bld. Ștefan ce Mare, 12, or. Cimișlia, Republica Moldova",adrsud@gmail.com,0 (241) 26286,-
MINISTERUL DEZVOLTĂRII REGIONALE ŞI CONSTRUCŢIILOR,"Republica Moldova, CHIŞINĂU RÎŞCANI, mun. Chişinău, str. Constantin Tănase 9",mdrc@mdrc.gov.md,022 204571   022 204595,-
IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,"Republica Moldova, mun.Chişinău, str.Toma Ciorbă, 1",achizitii@urgenta.md,(022) 250809,-
"MINISTERUL MUNCII, PROTECŢIEI SOCIALE ŞI FAMILIEI","Republica Moldova, mun. Chişinău, str. Alecsandri Vasile 1",oxana.sorochin@mmpsf.gov.md,022-26-93-29,-
I.M.S.P. Spitalul Clinic de Psihiatrie,"Republica Moldova, mun. Chişinău, or. Codru, str. Costiujeni 3",imspscp.achizitii@gmail.com,22 857-239 857 231,-
Administrația de Stat a Drumurilor,,,,-
