id,title,description,status,goods,contractor,startDate,endDate,amount
2172470,"14/00635/001 Trei spoturi publicitare privind beneficiile şi efectele procesului de integrare europeană a RM, în contextul semnării Acordului de Asociere RM-UE",,Înregistrat(ă),Productie de filme publicitare,INSTITUŢIA PRIVATĂ CENTRUL PENTRU JURNALISM INDEPENDENT,2014-05-05T00:00:00.000Z,2014-12-31T00:00:00.000Z,111000
2221032,"14/00598/001 FILME RADIOLOGICE, REACTIVE ȘI DEZINFECTANȚI",,Înregistrat(ă),Filme pentru radiografii,Î.M. GBG-MLD S.R.L.,2014-05-06T00:00:00.000Z,2014-12-31T00:00:00.000Z,62610
2221055,"14/00598/002 FILME RADIOLOGICE, REACTIVE ȘI DEZINFECTANȚI",,Înregistrat(ă),Filme pentru radiografii,Î.M. GBG-MLD S.R.L.,2014-05-06T00:00:00.000Z,2014-12-31T00:00:00.000Z,63745.5
2221059,"14/00598/003 FILME RADIOLOGICE, REACTIVE ȘI DEZINFECTANȚI",,Înregistrat(ă),Filme pentru radiografii,Î.M. GBG-MLD S.R.L.,2014-05-06T00:00:00.000Z,2014-12-31T00:00:00.000Z,166680
2150412,14/00614/003 Achizitionarea materialelor de constructie,,Înregistrat(ă),Materiale de constructii,F.P.C. AVOLVODA S.R.L.,2014-04-25T00:00:00.000Z,2014-12-31T00:00:00.000Z,41723
2150416,14/00614/004 Achizitionarea materialelor de constructie,,Înregistrat(ă),Materiale de constructii,F.P.C. AVOLVODA S.R.L.,2014-04-25T00:00:00.000Z,2014-12-31T00:00:00.000Z,20724
2150420,14/00614/005 Achizitionarea materialelor de constructie,,Înregistrat(ă),Materiale de constructii,F.P.C. AVOLVODA S.R.L.,2014-04-25T00:00:00.000Z,2014-12-31T00:00:00.000Z,18295.8
2154851,14/00614/006 Achizitionarea materialelor de constructie,,Înregistrat(ă),Materiale de constructii,F.P.C. AVOLVODA S.R.L.,2014-04-25T00:00:00.000Z,2014-12-31T00:00:00.000Z,20500
2241268,14/00614/007 Achizitionarea materialelor de constructie,,Înregistrat(ă),Materiale de constructii,F.P.C. AVOLVODA S.R.L.,2014-04-25T00:00:00.000Z,2014-12-31T00:00:00.000Z,136544.77
4074023,14/00614/004/001 Achizitionarea materialelor de constructie,,Aprobat,Materiale de constructii,F.P.C. AVOLVODA S.R.L.,2014-12-02T00:00:00.000Z,2014-12-31T00:00:00.000Z,691.2
2107415,"14/00624/001 echipament medical conform necesităților Clinicii Universitare de Asistență Medicală Primară a IP USMF""Nicolae Testemițanu""",,Înregistrat(ă),Echipamente medicale,RESTMED S.R.L.,2014-04-29T00:00:00.000Z,2014-12-31T00:00:00.000Z,92610
2162822,"14/00625/001 Lucrări de reparaţie capitală la gradiniţa nr. 184 str.P.Zadnipru, 3/1, aflată în subordinea DETS sectorul Ciocana",,Înregistrat(ă),Lucrari de acoperire si alte lucrari speciale de constructii,CONSAR-PRIM S.R.L.,2014-05-05T00:00:00.000Z,2014-12-31T00:00:00.000Z,152766
2162718,"14/00626/001 Lucrări de reparaţie a acoperişului, electricitate şi tehnica sanitară la liceul cu profil sportiv nr.2 str.A.Russo, 57, aflată în subordinea DETS sectorul Ciocana",,Înregistrat(ă),Lucrari de acoperire si alte lucrari speciale de constructii,S.C. EUSEVAS CONS S.R.L.,2014-05-05T00:00:00.000Z,2014-12-31T00:00:00.000Z,214113.12
2142621,14/00628/001 Produse alimentare,,Înregistrat(ă),Diverse produse alimentare,DELMIX-PRIM S.R.L.,2014-04-22T00:00:00.000Z,2014-12-30T00:00:00.000Z,5175
2142625,14/00628/002 Produse alimentare,,Înregistrat(ă),Diverse produse alimentare,DELMIX-PRIM S.R.L.,2014-04-22T00:00:00.000Z,2014-12-30T00:00:00.000Z,91500
2142633,14/00628/003 Produse alimentare,,Înregistrat(ă),Diverse produse alimentare,DELMIX-PRIM S.R.L.,2014-04-22T00:00:00.000Z,2014-12-30T00:00:00.000Z,5385
2142668,14/00628/004 Produse alimentare,,Înregistrat(ă),Diverse produse alimentare,DELMIX-PRIM S.R.L.,2014-04-28T00:00:00.000Z,2014-12-30T00:00:00.000Z,104040
2103156,14/00629/001 Produse petroliere pentru 2014,,Înregistrat(ă),"Produse petroliere, combustibil, electricitate si alte surse de energie",S.R.L. LUKOIL-Moldova,2014-04-24T00:00:00.000Z,2014-12-24T00:00:00.000Z,402900
2098198,14/00630/001 Servicii de reparație și întreținere a echipamentului video,,Înregistrat(ă),Servicii de reparare si de intretinere a echipamentului video,MEDIA-SECURITY S.R.L.,2014-04-22T00:00:00.000Z,2014-12-31T00:00:00.000Z,7740
2154869,14/00631/001 Detergenţi şi dezinfectanţi,,Înregistrat(ă),Sapun,DENIADI S.R.L.,2014-04-29T00:00:00.000Z,2014-12-31T00:00:00.000Z,56928.6
2154994,14/00631/002 Detergenţi şi dezinfectanţi,,Înregistrat(ă),Sapun,DENIADI S.R.L.,2014-04-29T00:00:00.000Z,2014-12-31T00:00:00.000Z,46944
2155012,14/00631/003 Detergenţi şi dezinfectanţi,,Înregistrat(ă),Sapun,DENIADI S.R.L.,2014-04-29T00:00:00.000Z,2014-12-31T00:00:00.000Z,35625
2116777,14/00632/001 Servicii poligrafice pentru anul de activitate 2014(Repetat),,Înregistrat(ă),Servicii tipografice,COMBINATUL POLIGRAFIC DIN CHIŞINĂU О.S.,2014-04-18T00:00:00.000Z,2014-12-31T00:00:00.000Z,5940
2116835,14/00632/002 Servicii poligrafice pentru anul de activitate 2014(Repetat),,Înregistrat(ă),Servicii tipografice,COMBINATUL POLIGRAFIC DIN CHIŞINĂU О.S.,2014-04-30T00:00:00.000Z,2014-12-31T00:00:00.000Z,432
2117212,14/00632/003 Servicii poligrafice pentru anul de activitate 2014(Repetat),,Înregistrat(ă),Servicii tipografice,COMBINATUL POLIGRAFIC DIN CHIŞINĂU О.S.,2014-04-30T00:00:00.000Z,2014-12-31T00:00:00.000Z,23184
2197773,14/00634/001 Produse petroliere,,Înregistrat(ă),Benzina,S.R.L. LUKOIL-Moldova,2014-05-15T00:00:00.000Z,2014-12-31T00:00:00.000Z,358000
4610346,14/00634/001/001 Produse petroliere,,Aprobat,Benzina,S.R.L. LUKOIL-Moldova,2014-12-18T00:00:00.000Z,2014-12-31T00:00:00.000Z,-89500
1922134,14/00478/001 Consumabile pentru imprimante şi copiatoare (repetat),,Înregistrat(ă),Cartuse de toner,IMPRIMARE-COM S.R.L.,2014-03-31T00:00:00.000Z,2014-12-31T00:00:00.000Z,92422
2156789,14/00484/001 Medicamente pentru instituţiile preşcolare şi preuniversitare subordonate DETS s.Ciocana,,Înregistrat(ă),"Echipamente medicale, produse farmaceutice si produse de ingrijire personala",ULIM,2014-04-29T00:00:00.000Z,2014-12-31T00:00:00.000Z,86803.53
2156798,14/00484/002 Medicamente pentru instituţiile preşcolare şi preuniversitare subordonate DETS s.Ciocana,,Înregistrat(ă),"Echipamente medicale, produse farmaceutice si produse de ingrijire personala",ULIM,2014-04-29T00:00:00.000Z,2014-12-31T00:00:00.000Z,20285.69
2156806,14/00484/003 Medicamente pentru instituţiile preşcolare şi preuniversitare subordonate DETS s.Ciocana,,Înregistrat(ă),"Echipamente medicale, produse farmaceutice si produse de ingrijire personala",ULIM,2014-04-29T00:00:00.000Z,2014-12-31T00:00:00.000Z,12184.32
2995087,14/00484/001/001 Medicamente pentru instituţiile preşcolare şi preuniversitare subordonate DETS s.Ciocana,,Aprobat,"Echipamente medicale, produse farmaceutice si produse de ingrijire personala",ULIM,2014-09-17T00:00:00.000Z,2014-12-31T00:00:00.000Z,-8480.54
3003368,14/00484/002/001 Medicamente pentru instituţiile preşcolare şi preuniversitare subordonate DETS s.Ciocana,,Aprobat,"Echipamente medicale, produse farmaceutice si produse de ingrijire personala",ULIM,2014-09-18T00:00:00.000Z,2014-12-31T00:00:00.000Z,-4893.31
