ocid,id,title,description,status,procurementMethod,tenderPeroid/startDate,tenderPeroid/endDate,procuringEntity/name,procuringEntity/id
ocds-ngfbwp-25610,25610,Tender Ref 12/00001 Bulletin 82,,Procedura finalizată,Licitaţie publică,,,Agenția de Dezvoltare Regională Centru,1009601000289
ocds-ngfbwp-25611,25611,Tender Ref 12/00002 Bulletin 90,,Procedura finalizată,Cerere a ofertelor de preţuri,,,ADR Nord,1009601000267
ocds-ngfbwp-25612,25612,Tender Ref 12/00003 Bulletin 82,,Procedura finalizată,Licitaţie publică,,,Departamentul Poliției de Frontieră al MAI,1006601000196
ocds-ngfbwp-25613,25613,Tender Ref 12/00004 Bulletin 81,,Procedura finalizată,Licitaţie publică,,,Departamentul Poliției de Frontieră al MAI,1006601000196
ocds-ngfbwp-25614,25614,Tender Ref 12/00005 Bulletin 82,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Agenția de Dezvoltare Regională Centru,1009601000289
ocds-ngfbwp-27310,27310,Tender Ref 12/00006 Bulletin 84,,Procedura finalizată,Licitaţie publică,,,I.M.S.P. INSTITUTUL MAMEI ŞI COPILULUI,1003600151643
ocds-ngfbwp-27311,27311,Tender Ref 12/00007 Bulletin 82,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Compania Națională de Asigurări în Medicină,1007601007778
ocds-ngfbwp-27312,27312,Tender Ref 12/00008 Bulletin 83,,Procedura finalizată,Licitaţie publică,,,Agentia Medicamentului şi Dispozitivelor Medicale,1006601004002
ocds-ngfbwp-27313,27313,Tender Ref 12/00009 Bulletin 83,,Procedura finalizată,Licitaţie publică,,,Agentia Medicamentului şi Dispozitivelor Medicale,1006601004002
ocds-ngfbwp-27980,27980,Tender Ref 12/00011 Bulletin 83,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Departamentul Poliției de Frontieră al MAI,1006601000196
ocds-ngfbwp-27981,27981,Tender Ref 12/00012 Bulletin 83,,Procedura finalizată,Licitaţie publică,,,Agentia Medicamentului şi Dispozitivelor Medicale,1006601004002
ocds-ngfbwp-27982,27982,Tender Ref 12/00013 Bulletin 83,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Ministerul Economiei,1006601000026
ocds-ngfbwp-27983,27983,Tender Ref 12/00014 Bulletin 46,,Procedura finalizată,Licitaţie publică,,,I.M.S.P. INSTITUTUL MAMEI ŞI COPILULUI,1003600151643
ocds-ngfbwp-27984,27984,Tender Ref 12/00015 Bulletin 83,,Procedura finalizată,Cerere a ofertelor de preţuri,,,ADR Nord,1009601000267
ocds-ngfbwp-27985,27985,Tender Ref 12/00016 Bulletin 84,,Executarea contractului,Cerere a ofertelor de preţuri,,,Casa Naţională de Asigurări Sociale,1004600030235
ocds-ngfbwp-27986,27986,Tender Ref 12/00017 Bulletin 83,,Procedura finalizată,Licitaţie publică,,,Ministerul Afacerilor Interne,1006601000130
ocds-ngfbwp-27988,27988,Tender Ref 12/00019 Bulletin 85,,Procedura finalizată,Licitaţie publică,,,IMSP Spitalul Clinic Republican,1003600150783
ocds-ngfbwp-27989,27989,Tender Ref 12/00020 Bulletin 84,,Anulată,Cerere a ofertelor de preţuri,,,Agenția de Dezvoltare Regională Sud,1009601000290
ocds-ngfbwp-32590,32590,Tender Ref 12/00021 Bulletin 83,,Executarea contractului,Cerere a ofertelor de preţuri,,,MINISTERUL DEZVOLTĂRII REGIONALE ŞI CONSTRUCŢIILOR,1008601000570
ocds-ngfbwp-32591,32591,Tender Ref 12/00022 Bulletin 88,,Procedura finalizată,Licitaţie publică,,,Ministerul Afacerilor Interne,1006601000130
ocds-ngfbwp-32592,32592,Tender Ref 12/00023 Bulletin 85,,Procedura finalizată,Licitaţie publică,,,Ministerul Afacerilor Interne,1006601000130
ocds-ngfbwp-32593,32593,Tender Ref 12/00024 Bulletin 85,,Executarea contractului,Licitaţie publică,,,IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,1003600152606
ocds-ngfbwp-32594,32594,Tender Ref 12/00025 Bulletin 85,,Procedura finalizată,Cerere a ofertelor de preţuri,,,I.M.S.P. INSTITUTUL MAMEI ŞI COPILULUI,1003600151643
ocds-ngfbwp-32595,32595,Tender Ref 12/00026 Bulletin 89,,Procedura finalizată,Licitaţie publică,,,IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,1003600152606
ocds-ngfbwp-32596,32596,Tender Ref 12/00027 Bulletin 85,,Procedura finalizată,Licitaţie publică,,,Agenția de Dezvoltare Regională Sud,1009601000290
ocds-ngfbwp-35991,35991,Tender Ref 12/00029 Bulletin 88,,Procedura finalizată,Licitaţie publică,,,IMSP Spitalul Clinic Republican,1003600150783
ocds-ngfbwp-35992,35992,Tender Ref 12/00030 Bulletin 87,,Procedura finalizată,Licitaţie publică,,,Agentia Medicamentului şi Dispozitivelor Medicale,1006601004002
ocds-ngfbwp-35994,35994,Tender Ref 12/00032 Bulletin 86,,Executarea contractului,Licitaţie publică,,,IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,1003600152606
ocds-ngfbwp-35995,35995,Tender Ref 12/00033 Bulletin 86,,Procedura finalizată,Licitaţie publică,,,"MINISTERUL MUNCII, PROTECŢIEI SOCIALE ŞI FAMILIEI",1007601000791
ocds-ngfbwp-35996,35996,Tender Ref 12/00034 Bulletin 85,,Executarea contractului,Cerere a ofertelor de preţuri,,,IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,1003600152606
ocds-ngfbwp-35997,35997,Tender Ref 12/00035 Bulletin 85,,Procedura finalizată,Cerere a ofertelor de preţuri,,,IMSP Spitalul Clinic Republican,1003600150783
ocds-ngfbwp-35998,35998,Tender Ref 12/00036 Bulletin 88,,Procedura finalizată,Licitaţie publică,,,I.M.S.P. Spitalul Clinic de Psihiatrie,1003600150554
ocds-ngfbwp-35999,35999,Tender Ref 12/00037 Bulletin 85,,Procedura finalizată,Licitaţie publică,,,IMSP Spitalul Clinic Republican,1003600150783
ocds-ngfbwp-53450,53450,Tender Ref 12/00038 Bulletin 93,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Compania Națională de Asigurări în Medicină,1007601007778
ocds-ngfbwp-53451,53451,Tender Ref 12/00039 Bulletin 87,,Executarea contractului,Licitaţie publică,,,IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,1003600152606
ocds-ngfbwp-53452,53452,Tender Ref 12/00040 Bulletin 87,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Departamentul Poliției de Frontieră al MAI,1006601000196
ocds-ngfbwp-53453,53453,Tender Ref 12/00041 Bulletin 87,,Executarea contractului,Licitaţie publică,,,IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,1003600152606
ocds-ngfbwp-53454,53454,Tender Ref 12/00042 Bulletin 86,,Anulată,Licitaţie publică,,,Administrația de Stat a Drumurilor,1003600023559
ocds-ngfbwp-53455,53455,Tender Ref 12/00043 Bulletin 86,,Procedura finalizată,Licitaţie publică,,,IMSP Spitalul Clinic Republican,1003600150783
ocds-ngfbwp-53456,53456,Tender Ref 12/00044 Bulletin 89,,Executarea contractului,Licitaţie publică,,,MINISTERUL DEZVOLTĂRII REGIONALE ŞI CONSTRUCŢIILOR,1008601000570
ocds-ngfbwp-53457,53457,Tender Ref 12/00045 Bulletin 87,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Departamentul Poliției de Frontieră al MAI,1006601000196
ocds-ngfbwp-53458,53458,Tender Ref 12/00046 Bulletin 88,,Procedura finalizată,Cerere a ofertelor de preţuri,,,IMSP Spitalul Clinic Republican,1003600150783
ocds-ngfbwp-59115,59115,Tender Ref 12/00047 Bulletin 87,,Executarea contractului,Licitaţie publică,,,IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,1003600152606
ocds-ngfbwp-59116,59116,Tender Ref 12/00048 Bulletin 87,,Executarea contractului,Cerere a ofertelor de preţuri,,,Casa Naţională de Asigurări Sociale,1004600030235
ocds-ngfbwp-59117,59117,Tender Ref 12/00049 Bulletin 88,,Procedura finalizată,Cerere a ofertelor de preţuri,,,Ministerul Economiei,1006601000026
ocds-ngfbwp-59118,59118,Tender Ref 12/00050 Bulletin 87,,Executarea contractului,Licitaţie publică,,,IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,1003600152606
ocds-ngfbwp-59119,59119,Tender Ref 12/00051 Bulletin 87,,Executarea contractului,Cerere a ofertelor de preţuri,,,IMSP INSTITUTUL DE MEDICINĂ URGENTĂ,1003600152606
